Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
MXRF11,24B1276213,AF,imovel,FR,F,,,,,,,,
MXRF11,19L0917227,CF,alugueis,AF,imovel,A,,,,,,,
MXRF11,20K0571487,AF,imovel,,,,,,,,,,
MXRF11,24B0013802,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",FR,,,,,,,
MXRF11,19I0737681,CF,dividendos,AF,SUB,,,,,,,,
MXRF11,23F1763644,F,,,,,,,,,,,
MXRF11,23L2159971,FR,recebiveis/ credito/ direito creditorio,,,,,,,,,,
MXRF11,22B0309134,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,F,,,,,,,,
MXRF11,22J0346032,AF,terreno,CF,recebiveis/ credito/ direito creditorio,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,FR,FR,S,F,A
MXRF11,20I0777292,AF,R,CF,CF,FR,,,,,,,
MXRF11,21K0633996,CF,A,,,,,,,,,,
MXRF11,20L0653261,AF,,,,,,,,,,,
MXRF11,22D0371507,AF,imovel,F,,,,,,,,,
MXRF11,21F0906525,AF,imovel,FR,F,,,,,,,,
MXRF11,22J0346038,AF,terreno,CF,recebiveis/ credito/ direito creditorio,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,FR,FR,S,F,A
MXRF11,20J0667658,AF,imovel,CF,F,FR,FR,FR,,,,,
MXRF11,22I1555753,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,recebiveis/ credito/ direito creditorio,AF,imovel,F,FR,,,,
MXRF11,22B0939878,CF,recebiveis/ credito/ direito creditorio,AF,imovel,F,FR,,,,,,
